##
#
#Pics magnetiques
#
# h    k    l   ivk  dum  tbar scal Intens Sigma
 0.5  0.5  0.0  1.0  1.0  1.5  1.0 2.14 1.46 
 2.5  0.5  0.0  1.0  1.0  1.5  1.0 84.15 4.08 
 1.5  1.5  0.0  1.0  1.0  1.5  1.0 20.71 11.81 
-0.5  1.5  0.0  1.0  1.0  1.5  1.0 253.42 5.25 
-1.5  2.5  0.0  1.0  1.0  1.5  1.0 133.15 9.44 
 1.5  0.5  1.0  1.0  1.0  1.5  1.0 117.98 3.02 
-0.5  0.5  1.0  1.0  1.0  1.5  1.0 445.62 3.59 
 2.5  1.5  1.0  1.0  1.0  1.5  1.0 50.04 5.99 
-0.5  2.5  1.0  1.0  1.0  1.5  1.0 172.75 6.60 
-1.5  1.5  1.0  1.0  1.0  1.5  1.0 147.72 82.86 
 0.5  0.5  2.0  1.0  1.0  1.5  1.0 254.63 3.51 
 2.5  0.5  2.0  1.0  1.0  1.5  1.0 113.27 3.47 
 1.5  1.5  2.0  1.0  1.0  1.5  1.0 35.17 5.35 
-0.5  1.5  2.0  1.0  1.0  1.5  1.0 262.84 14.27 
-1.5  2.5  2.0  1.0  1.0  1.5  1.0 151.33 7.38 
 1.5  0.5  3.0  1.0  1.0  1.5  1.0 160.40 5.50 
-0.5  0.5  3.0  1.0  1.0  1.5  1.0 406.24 4.62 
 2.5  1.5  3.0  1.0  1.0  1.5  1.0 47.40 5.21 
-0.5  2.5  3.0  1.0  1.0  1.5  1.0 161.08 5.45 
-1.5  1.5  3.0  1.0  1.0  1.5  1.0 228.07 5.93 
 0.5  0.5  4.0  1.0  1.0  1.5  1.0 291.96 5.43 
 2.5  0.5  4.0  1.0  1.0  1.5  1.0 81.13 4.09 
 1.5  1.5  4.0  1.0  1.0  1.5  1.0 65.90 8.43 
-0.5  1.5  4.0  1.0  1.0  1.5  1.0 231.20 7.10 
-1.5  2.5  4.0  1.0  1.0  1.5  1.0 99.03 7.76 
 1.5  0.5  5.0  1.0  1.0  1.5  1.0 180.69 4.37 
-0.5  0.5  5.0  1.0  1.0  1.5  1.0 344.43 6.82 
-0.5  2.5  5.0  1.0  1.0  1.5  1.0 147.67 13.44 
-1.5  1.5  5.0  1.0  1.0  1.5  1.0 196.48 8.89 
 0.5  0.5  6.0  1.0  1.0  1.5  1.0 264.65 4.35 
 1.5  1.5  6.0  1.0  1.0  1.5  1.0 100.29 12.54 
-0.5  1.5  6.0  1.0  1.0  1.5  1.0 193.49 8.62 
 1.5  0.5  7.0  1.0  1.0  1.5  1.0 154.14 6.97 
-0.5  0.5  7.0  1.0  1.0  1.5  1.0 265.03 5.60 
